,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,param_base_estimator,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.02068953514099121,0.004709546959890853,0.010692477226257324,0.01185186885855454,2940,0.8563311036789297,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 2940, 'learning_rate': 0.8563311036789297, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,21.94844071865082,3.208953533238705,1.133400321006775,0.047157375837140594,2410,0.28499665551839465,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 2410, 'learning_rate': 0.28499665551839465, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6620247222656861,0.7303803562831006,0.6328532995727172,0.7621655452980753,0.8000000000000002,0.7498436522826768,0.6360784313725489,0.7979797979797979,0.8110533774208786,0.6581737616711506,0.7240552944146633,0.06723424316801792,60,0.7496213409168188,0.7288900131499929,0.7398557459149585,0.737130339539978,0.7328695652173912,0.7384347826086958,0.7484359285690846,0.7246941045606229,0.7357665474268142,0.7370734544274181,0.7372771822331774,0.007316662659309475
2,31.340514802932738,1.6956039271727634,1.685399317741394,0.09605261831506626,3680,0.14466889632107022,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 3680, 'learning_rate': 0.14466889632107022, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6620247222656861,0.7303803562831006,0.6328532995727172,0.7621655452980753,0.8000000000000002,0.7498436522826768,0.6360784313725489,0.7979797979797979,0.8110533774208786,0.6581737616711506,0.7240552944146633,0.06723424316801792,60,0.7496213409168188,0.7288900131499929,0.7398557459149585,0.737130339539978,0.7328695652173912,0.7384347826086958,0.7484359285690846,0.7246941045606229,0.7357665474268142,0.7370734544274181,0.7372771822331774,0.007316662659309475
3,20.439489102363588,0.4083541365181924,1.1178952217102052,0.04622250697909245,2480,0.2816555183946488,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 2480, 'learning_rate': 0.2816555183946488, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6620247222656861,0.7303803562831006,0.6328532995727172,0.7621655452980753,0.8000000000000002,0.7498436522826768,0.6360784313725489,0.7979797979797979,0.8110533774208786,0.6581737616711506,0.7240552944146633,0.06723424316801792,60,0.7496213409168188,0.7288900131499929,0.7398557459149585,0.737130339539978,0.7328695652173912,0.7384347826086958,0.7484359285690846,0.7246941045606229,0.7357665474268142,0.7370734544274181,0.7372771822331774,0.007316662659309475
4,0.016509151458740233,0.00087545272677921,0.007342720031738281,0.003563808276329533,1480,0.482123745819398,DecisionTreeClassifier(random_state=1),SAMME.R,"{'n_estimators': 1480, 'learning_rate': 0.482123745819398, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME.R'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.01868891716003418,0.0047520686175333265,0.005896258354187012,0.0006999189710353832,4960,0.4888060200668896,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 4960, 'learning_rate': 0.4888060200668896, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.019088935852050782,0.004697511620727043,0.006696057319641113,0.0016150413801466431,3190,0.7861672240802675,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 3190, 'learning_rate': 0.7861672240802675, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.021387648582458497,0.007948550464840424,0.006995654106140137,0.0027551918187971747,4830,0.1413277591973244,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 4830, 'learning_rate': 0.1413277591973244, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,5.588376712799072,15.7896275614448,0.14469902515411376,0.38902263980870927,4800,0.5322408026755853,LogisticRegression(random_state=1),SAMME,"{'n_estimators': 4800, 'learning_rate': 0.5322408026755853, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME'}",0.6620247222656861,0.7594556100648836,0.6240601503759399,0.7866666666666665,0.7615686274509803,0.7621655452980753,0.6,0.7714285714285714,0.8074145402022147,0.724310776942356,0.7259095210695373,0.06813825605767958,58,0.7472144201981542,0.7277777777777776,0.734709428502532,0.7333312757042879,0.7291619646174414,0.7458210754762479,0.7388808296552362,0.7388868741271152,0.7374751857332194,0.7569439755863726,0.7390202807378383,0.008435677950805376
9,0.01975715160369873,0.006504642236540523,0.0074309825897216795,0.001945689655074329,1550,0.7661204013377926,DecisionTreeClassifier(random_state=1),SAMME.R,"{'n_estimators': 1550, 'learning_rate': 0.7661204013377926, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME.R'}",0.7124550711048603,0.5707070707070707,0.7744360902255639,0.7621655452980753,0.7371303395399782,0.8122359568142699,0.8222222222222222,0.8372711625723674,0.7579232361841057,0.8110533774208786,0.7597600072089392,0.07349126615960859,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
