,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
625,0.009319710731506347,0.0012417265891394916,0.004428434371948242,0.0005879206549738732,3.1285025025025024,{'C': 3.1285025025025024},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
626,0.009478616714477538,0.0010418165157557173,0.004498958587646484,0.0004192120323931193,3.133506506506506,{'C': 3.133506506506506},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
627,0.010022544860839843,0.001040986825872812,0.00489199161529541,0.001013983712824741,3.1385105105105104,{'C': 3.1385105105105104},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
628,0.009662771224975586,0.0011350094498142524,0.004567646980285644,0.0005864634384150859,3.1435145145145142,{'C': 3.1435145145145142},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
629,0.009422063827514648,0.0011438801953513574,0.004453778266906738,0.0005271070323035703,3.1485185185185185,{'C': 3.1485185185185185},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
630,0.009703779220581054,0.0011369459619607232,0.004552245140075684,0.0006672857407247576,3.1535225225225223,{'C': 3.1535225225225223},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
631,0.00984814167022705,0.0008918135689348867,0.0045860052108764645,0.0005899062745188787,3.1585265265265265,{'C': 3.1585265265265265},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
632,0.009489798545837402,0.000785700362176699,0.004757380485534668,0.0007622685421771866,3.1635305305305303,{'C': 3.1635305305305303},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
633,0.009283757209777832,0.0008991868536915233,0.0045311212539672855,0.0007536385750206877,3.1685345345345346,{'C': 3.1685345345345346},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
634,0.009380602836608886,0.0008611418109801858,0.0044766426086425785,0.0005595161598888286,3.1735385385385384,{'C': 3.1735385385385384},0.6918766728719217,0.8087402267902449,0.7183217372970694,0.7351766513056835,0.6906214258482654,0.8468294717089316,0.7856018086592522,0.7741473525532315,0.7825399960497729,0.744715786181553,0.7578571129265926,0.04824288185032701,141,0.7810852583538782,0.7560356717237315,0.7703041759752532,0.7715053924895544,0.7624195218082351,0.7591497567092348,0.7640560743099712,0.7506982005096482,0.7645218453521982,0.7598273390725891,0.7639603236304294,0.008197814306313013
