,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,13.232691097259522,2.177945316391356,1.0125182390213012,0.1711704120383495,1821,523,3708,0.38,68,1,62,gini,"{'n_estimators': 1821, 'min_samples_split': 523, 'min_samples_leaf': 3708, 'max_samples': 0.38, 'max_leaf_nodes': 68, 'max_features': 1, 'max_depth': 62, 'criterion': 'gini'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
1,16.400784516334532,1.175291515037888,1.3976601839065552,0.36924732432156915,2441,421,3281,0.9500000000000001,150,1,223,gini,"{'n_estimators': 2441, 'min_samples_split': 421, 'min_samples_leaf': 3281, 'max_samples': 0.9500000000000001, 'max_leaf_nodes': 150, 'max_features': 1, 'max_depth': 223, 'criterion': 'gini'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
2,3.9837775945663454,1.0518410433995424,0.3331831693649292,0.12091963452112858,721,148,323,0.65,21,1,233,gini,"{'n_estimators': 721, 'min_samples_split': 148, 'min_samples_leaf': 323, 'max_samples': 0.65, 'max_leaf_nodes': 21, 'max_features': 1, 'max_depth': 233, 'criterion': 'gini'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
3,0.5876961946487427,0.3400269419561119,0.051594090461730954,0.0223305469151812,81,517,3330,0.65,207,1,176,gini,"{'n_estimators': 81, 'min_samples_split': 517, 'min_samples_leaf': 3330, 'max_samples': 0.65, 'max_leaf_nodes': 207, 'max_features': 1, 'max_depth': 176, 'criterion': 'gini'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
4,15.42285749912262,1.3292682517305319,1.125552201271057,0.23610415654504216,2421,508,1083,0.11,152,1,252,entropy,"{'n_estimators': 2421, 'min_samples_split': 508, 'min_samples_leaf': 1083, 'max_samples': 0.11, 'max_leaf_nodes': 152, 'max_features': 1, 'max_depth': 252, 'criterion': 'entropy'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
5,5.306149530410766,0.4098358770987618,0.4965958595275879,0.13909626451320678,881,466,2797,0.61,286,1,109,gini,"{'n_estimators': 881, 'min_samples_split': 466, 'min_samples_leaf': 2797, 'max_samples': 0.61, 'max_leaf_nodes': 286, 'max_features': 1, 'max_depth': 109, 'criterion': 'gini'}",0.34633273703041145,0.34633273703041145,0.34633273703041145,0.34633273703041145,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.3333974358974359,0.011555395738537002,1,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.33333413291914793,0.0012906590151973872
6,12.94965443611145,0.9551173887860461,1.0829128742218017,0.3104607412603621,2041,123,488,0.61,193,1,158,entropy,"{'n_estimators': 2041, 'min_samples_split': 123, 'min_samples_leaf': 488, 'max_samples': 0.61, 'max_leaf_nodes': 193, 'max_features': 1, 'max_depth': 158, 'criterion': 'entropy'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
7,12.729709339141845,1.2683047673159644,0.9387965202331543,0.18370183501995524,1881,606,2679,0.3,219,1,104,log_loss,"{'n_estimators': 1881, 'min_samples_split': 606, 'min_samples_leaf': 2679, 'max_samples': 0.3, 'max_leaf_nodes': 219, 'max_features': 1, 'max_depth': 104, 'criterion': 'log_loss'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.32306201550387603,0.005135658914728669,28,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.334488533381267,0.0005776000239668288
8,13.286372470855714,0.7354564814110428,1.2272908687591553,0.32128889748138045,2181,146,3407,0.04,267,1,275,entropy,"{'n_estimators': 2181, 'min_samples_split': 146, 'min_samples_leaf': 3407, 'max_samples': 0.04, 'max_leaf_nodes': 267, 'max_features': 1, 'max_depth': 275, 'criterion': 'entropy'}",0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.34633273703041145,0.34633273703041145,0.34633273703041145,0.34633273703041145,0.3333333333333333,0.3333333333333333,0.3333974358974359,0.011555395738537002,1,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3333333333333333,0.3333333333333333,0.33333413291914793,0.0012906590151973872
9,5.826519393920899,0.8662181526567467,0.45179157257080077,0.09731695292909899,941,144,3398,0.48000000000000004,273,1,193,entropy,"{'n_estimators': 941, 'min_samples_split': 144, 'min_samples_leaf': 3398, 'max_samples': 0.48000000000000004, 'max_leaf_nodes': 273, 'max_features': 1, 'max_depth': 193, 'criterion': 'entropy'}",0.34633273703041145,0.34633273703041145,0.34633273703041145,0.34633273703041145,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.32049418604651164,0.3333333333333333,0.3333333333333333,0.3333974358974359,0.011555395738537002,1,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3318913322379527,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3347773333932504,0.3333333333333333,0.3333333333333333,0.33333413291914793,0.0012906590151973872
