,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,param_base_estimator,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.01609015464782715,0.0015772911605229402,0.005896735191345215,0.0011353028108978052,2940,0.8563311036789297,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 2940, 'learning_rate': 0.8563311036789297, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,21.981743359565733,2.313159884622061,1.1323586225509643,0.06672837272538343,2410,0.28499665551839465,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 2410, 'learning_rate': 0.28499665551839465, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6611764705882354,0.7186700767263428,0.6731615336266499,0.7866666666666665,0.787466791686201,0.6050326485109092,0.5707070707070707,0.6106729316999496,0.7248280175109443,0.8362462604314281,0.6974628468154398,0.0840045113398973,74,0.7246409283711011,0.7090346594479624,0.7118190167738192,0.705991070581883,0.7031077279881367,0.7272389905987136,0.7231619969897152,0.7203148583697788,0.7131718184349763,0.7049727857496288,0.7143453853305715,0.008399400335369452
2,31.720960712432863,1.7379183132336393,1.7065298318862916,0.026469878017266094,3680,0.14466889632107022,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 3680, 'learning_rate': 0.14466889632107022, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6611764705882354,0.7186700767263428,0.6731615336266499,0.7866666666666665,0.787466791686201,0.6050326485109092,0.5707070707070707,0.6106729316999496,0.7248280175109443,0.8362462604314281,0.6974628468154398,0.0840045113398973,74,0.7246409283711011,0.7090346594479624,0.7118190167738192,0.705991070581883,0.7031077279881367,0.7272389905987136,0.7231619969897152,0.7203148583697788,0.7131718184349763,0.7049727857496288,0.7143453853305715,0.008399400335369452
3,20.05578577518463,0.19290009455177748,1.1366883993148804,0.034416355027645416,2480,0.2816555183946488,LogisticRegression(random_state=1),SAMME.R,"{'n_estimators': 2480, 'learning_rate': 0.2816555183946488, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME.R'}",0.6611764705882354,0.7186700767263428,0.6731615336266499,0.7866666666666665,0.787466791686201,0.6050326485109092,0.5707070707070707,0.6106729316999496,0.7248280175109443,0.8362462604314281,0.6974628468154398,0.0840045113398973,74,0.7246409283711011,0.7090346594479624,0.7118190167738192,0.705991070581883,0.7031077279881367,0.7272389905987136,0.7231619969897152,0.7203148583697788,0.7131718184349763,0.7049727857496288,0.7143453853305715,0.008399400335369452
4,0.024281001091003417,0.007501677236327244,0.006530904769897461,0.0009377319886822854,1480,0.482123745819398,DecisionTreeClassifier(random_state=1),SAMME.R,"{'n_estimators': 1480, 'learning_rate': 0.482123745819398, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME.R'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.020896172523498534,0.005889935744478623,0.008874988555908203,0.007121134736660306,4960,0.4888060200668896,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 4960, 'learning_rate': 0.4888060200668896, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.01704084873199463,0.0011054874003180945,0.00939486026763916,0.006722627803336353,3190,0.7861672240802675,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 3190, 'learning_rate': 0.7861672240802675, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.019744253158569335,0.005698416009854899,0.007795572280883789,0.004704702120968266,4830,0.1413277591973244,DecisionTreeClassifier(random_state=1),SAMME,"{'n_estimators': 4830, 'learning_rate': 0.1413277591973244, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.3847721338272095,0.19252426959527472,0.016340970993041992,0.005462466218973562,4800,0.5322408026755853,LogisticRegression(random_state=1),SAMME,"{'n_estimators': 4800, 'learning_rate': 0.5322408026755853, 'base_estimator': LogisticRegression(random_state=1), 'algorithm': 'SAMME'}",0.6983029541169076,0.7474747474747475,0.675,0.7866666666666665,0.7615686274509803,0.7250000000000001,0.5874355368026254,0.646539027982327,0.73547472838923,0.8354169963601835,0.7198879285243668,0.06780729662906268,55,0.7305035693613736,0.7166120007717539,0.7291619646174414,0.718041958041958,0.7180550116801924,0.729124342345158,0.7388385105151457,0.7277021394831897,0.726375693272245,0.715250862832328,0.7249666052920786,0.0072619567140693305
9,0.016826891899108888,0.0007802878770327733,0.007087206840515137,0.0019618703260031694,1550,0.7661204013377926,DecisionTreeClassifier(random_state=1),SAMME.R,"{'n_estimators': 1550, 'learning_rate': 0.7661204013377926, 'base_estimator': DecisionTreeClassifier(random_state=1), 'algorithm': 'SAMME.R'}",0.6497811131957474,0.7615686274509803,0.6834942237695837,0.824010056568196,0.724310776942356,0.7250000000000001,0.7493734335839598,0.7998749218261413,0.8110533774208786,0.7988686360779383,0.7527335166835781,0.05467352110901947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
