,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.10328354835510253,0.022790646023068892,0.006321835517883301,0.0010997141876513134,50,100,1,0.1,5,0.075,"{'n_estimators': 50, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 5, 'learning_rate': 0.075}",0.7737272155876807,0.7737272155876807,0.7866666666666665,0.8100965342617503,0.8496240601503761,0.812470698546648,0.7124550711048603,0.8372711625723674,0.7953964194373402,0.836862745098039,0.798829778901341,0.03833786214982749,2,0.8930206799670417,0.8874511506730351,0.886023166023166,0.8846418898963204,0.8790992663734218,0.8776418242491657,0.8735230359104239,0.8777173913043479,0.890241996329822,0.8776833976833976,0.8827043798410144,0.00611183717052497
1,0.025333857536315917,0.0029600352316029393,0.005570697784423828,0.0011366786417753162,20,30,20,0.3,1,0.005,"{'n_estimators': 20, 'min_samples_split': 30, 'min_samples_leaf': 20, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.724310776942356,0.6497811131957474,0.5707070707070707,0.6731615336266499,0.6983029541169076,0.6952380952380952,0.6992481203007519,0.7102818453786807,0.6360784313725489,0.7364705882352941,0.6793580529114102,0.046729994248794975,98,0.6798416221357811,0.6883478260869567,0.6934011567138179,0.6852343332894869,0.677140029688273,0.691056407718951,0.7066450911520437,0.6774187291865063,0.6879256965944273,0.7012915089988828,0.6888302401565125,0.00927448954532901
2,0.04719383716583252,0.002110411981915245,0.005133223533630371,0.0007922148857325813,50,50,1,0.2,1,0.075,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 1, 'learning_rate': 0.075}",0.73547472838923,0.7341351479664504,0.6870599280237835,0.7069597069597069,0.7364705882352941,0.73547472838923,0.6620247222656861,0.7371303395399782,0.7364705882352941,0.7872007510561726,0.7258401229060826,0.03210272096184456,80,0.7706382165383747,0.7525467450320129,0.7565494948402017,0.7455265317946984,0.7498764822134388,0.7428367882399957,0.7553667953667954,0.7511349351479423,0.7554630994743383,0.7606382978723404,0.754057738652014,0.007450594137762685
3,0.023392343521118165,0.0012058463277023815,0.0049113273620605465,0.00044316450234607144,20,150,1,0.3,1,0.005,"{'n_estimators': 20, 'min_samples_split': 150, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.724310776942356,0.6497811131957474,0.5707070707070707,0.6731615336266499,0.6983029541169076,0.6952380952380952,0.6992481203007519,0.7102818453786807,0.6360784313725489,0.7364705882352941,0.6793580529114102,0.046729994248794975,98,0.6798416221357811,0.6883478260869567,0.6934011567138179,0.6852343332894869,0.677140029688273,0.691056407718951,0.7066450911520437,0.6774187291865063,0.6879256965944273,0.7012915089988828,0.6888302401565125,0.00927448954532901
4,0.014650464057922363,0.0007458398093735594,0.004894065856933594,0.0008214811201443557,10,50,5,0.3,1,0.005,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.7364705882352941,0.7206349206349207,0.6497811131957474,0.7324414715719063,0.7858604944103289,0.7606676113997797,0.6983029541169076,0.8000000000000002,0.746031746031746,0.748585795097423,0.7378776694694054,0.04064243551654088,73,0.7606382978723404,0.759383855769398,0.7151541467650891,0.7493734335839599,0.754086498106057,0.7565494948402017,0.7499296628668445,0.7326649958228905,0.7479454810253158,0.7533555479430725,0.747908141459517,0.013219988271973548
5,0.03462088108062744,0.002176515998461712,0.004954981803894043,0.00042287011053406215,20,100,50,0.3,3,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': 0.3, 'max_depth': 3, 'learning_rate': 0.005}",0.7493734335839598,0.7866666666666665,0.7498436522826768,0.756058417589472,0.7988686360779383,0.7866666666666665,0.7234443746071653,0.8122359568142699,0.7834050007963053,0.7493734335839598,0.7695936238669081,0.026400483322594894,25,0.7898362880356303,0.7785819418951669,0.7918408925539656,0.7978902373628161,0.7911445279866333,0.7989513201576123,0.7890468105748242,0.7940869565217393,0.78219726350408,0.8008044435931814,0.7914380682185649,0.006723315701847546
6,0.0272932767868042,0.0015085577321856832,0.005206561088562012,0.0009002952403143365,20,100,5,0.2,2,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 2, 'learning_rate': 0.005}",0.7498436522826768,0.7498436522826768,0.6491228070175439,0.7020242914979756,0.73547472838923,0.7222222222222222,0.7371303395399782,0.7994987468671678,0.7341351479664504,0.7615686274509803,0.7340864215516902,0.03732207791075368,76,0.7673009895126752,0.7575851393188854,0.7572544642857142,0.7500344265124874,0.763082712006132,0.7579130434782608,0.7693880046821224,0.7549472455875917,0.7586041833414405,0.7654432068505476,0.7601553415575857,0.005699522577671675
7,0.022719478607177733,0.0012037681725568586,0.004934334754943847,0.0003458262508961561,20,100,10,0.1,1,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 10, 'max_features': 0.1, 'max_depth': 1, 'learning_rate': 0.005}",0.6998123827392121,0.6870599280237835,0.5989974937343359,0.6598960793575814,0.6983029541169076,0.6814779423475075,0.7248280175109443,0.6983029541169076,0.6369895165075888,0.748585795097423,0.6834253063552191,0.04065250817539134,96,0.6984429977360064,0.7026653595881159,0.7065317547245258,0.6827826086956521,0.6814276246766069,0.6955743601327519,0.69654553750261,0.6780182402124862,0.6868421510464692,0.6927420149033253,0.6921572649218549,0.009049882156523633
8,0.057033848762512204,0.0016078261104264969,0.004829287528991699,0.0002735626298558662,50,50,5,0.1,2,0.005,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_depth': 2, 'learning_rate': 0.005}",0.724310776942356,0.7737272155876807,0.7124550711048603,0.6930946291560103,0.7606676113997797,0.7594556100648836,0.6741854636591479,0.7624628848257541,0.7594556100648836,0.7744360902255639,0.739425096303092,0.03397849166184284,69,0.7856877783275606,0.7730748779426692,0.7765207067532649,0.7563008794443661,0.7647836601193478,0.768657236429517,0.7728746185063836,0.7535843766616716,0.7575851393188854,0.7849011802500175,0.7693970453753682,0.010793676465681322
9,0.013450694084167481,0.0005323120529473675,0.004829263687133789,0.0003815023467898756,10,150,5,0.2,1,0.005,"{'n_estimators': 10, 'min_samples_split': 150, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 1, 'learning_rate': 0.005}",0.675,0.6581737616711506,0.6374433505235194,0.6992481203007519,0.6992481203007519,0.6992481203007519,0.6870599280237835,0.7102818453786807,0.7120951337818809,0.7248280175109443,0.6902626397792215,0.025253093388504927,91,0.6999629583899246,0.7011807991290232,0.7041523993248132,0.698512825361663,0.6818063395570995,0.697163804746286,0.6901432913590968,0.6958327465909464,0.6972011945273978,0.7094750742819411,0.6975431433268191,0.007153129768524524
