index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.01399850845336914,0.0026044187499050034,0.007490706443786621,0.0014531927991339403,0.001,{'C': 0.001},0.5060088551549652,0.5060088551549652,0.5060088551549652,0.5060088551549652,0.546577679863496,0.5193962019152735,0.555886736214605,0.5193962019152735,0.5193962019152735,0.5193962019152735,0.5204084644359055,0.016664421069801934,1000,0.5222733644601918,0.5222733644601918,0.5222733644601918,0.5222733644601918,0.5175410796337052,0.520764433190163,0.5166575942826828,0.520764433190163,0.520764433190163,0.520764433190163,0.5206349864517806,0.001902526312349639
1,0.013955092430114746,0.0010141327764087173,0.007227897644042969,0.0006458232459642446,0.002,{'C': 0.002},0.5345622119815668,0.575268817204301,0.6065037471489085,0.5060088551549652,0.5792907326865172,0.6788566624632199,0.7052056370434283,0.5897607579717344,0.6099171877640696,0.555886736214605,0.5941261345633315,0.05769748032043526,999,0.6104447981685833,0.5896348013372941,0.5987193937504495,0.6087787505564622,0.6050623685278813,0.5833666575409676,0.5868361629512586,0.5914784532551771,0.6017021089877144,0.6050623685278813,0.598108586360367,0.00914432546225564
2,0.012999629974365235,0.000676363776948223,0.0069152116775512695,0.0006932590728463914,0.003,{'C': 0.003},0.5514070006863419,0.6358434192535575,0.6635135301580263,0.6065037471489085,0.6387137452711223,0.8041996684472279,0.7395580898075551,0.5985708280790248,0.6265938069216758,0.6509785364204833,0.6515882372193923,0.06862189060664413,998,0.6810638427858671,0.6462149215136997,0.6623987763711452,0.669558413281622,0.6806232382193383,0.6429362199718119,0.6562407152310724,0.6503097237670218,0.6707658753014969,0.6563614905773402,0.6616473217020415,0.012873855705248178
3,0.009557509422302246,0.001440664908735078,0.004682755470275879,0.000537569899144023,0.004,{'C': 0.004},0.6479021716213366,0.6897081413210445,0.6897081413210445,0.6635135301580263,0.6916637600279036,0.8088939136988883,0.7395580898075551,0.6531217300313917,0.6531217300313917,0.702352102637206,0.6939543310655788,0.046674068141594596,997,0.715850987535193,0.691592973671811,0.7045029466944808,0.7086357726148378,0.7064928418015288,0.6886964505449064,0.6960808636358933,0.696794323504255,0.708021328205196,0.6990975612171426,0.7015766049425245,0.008078660050873791
4,0.008785295486450195,0.0009547425950604098,0.004858970642089844,0.0008988700425905101,0.005,{'C': 0.005},0.669642209910423,0.738320750400366,0.7009380004575612,0.6261725005719515,0.6916637600279036,0.8088939136988883,0.7890768826159374,0.702352102637206,0.6783250363184352,0.7112932604735883,0.7116678417112261,0.05190858509792847,996,0.7315503829222699,0.7040526434522604,0.7181164747870391,0.7284054819926579,0.7253914167388925,0.7070209160686373,0.7120737213117959,0.7232975318426019,0.7251635099332946,0.718253606879415,0.7193325685928864,0.008708673851082134
5,0.009615015983581544,0.000653561896614136,0.004925656318664551,0.0008077877893087483,0.006,{'C': 0.006},0.6829173356687588,0.7610128338536246,0.7009380004575612,0.6379733520336606,0.6887105491018766,0.8088939136988883,0.7937476172321769,0.702352102637206,0.7112932604735883,0.7112932604735883,0.7199132225630929,0.049931716994158236,995,0.7334994060699924,0.7165629183071368,0.7256235827664399,0.7343377423016723,0.7311325449966781,0.7118193589089935,0.7191454657142032,0.7262606141435093,0.7311490120819308,0.7325487109371024,0.7262079356227659,0.007472690057338794
6,0.008988046646118164,0.0009787378655161897,0.004529905319213867,0.0004309150092716032,0.007,{'C': 0.007},0.6689708141321046,0.7610128338536246,0.7009380004575612,0.6609949190594351,0.6887105491018766,0.8281230143601475,0.7937476172321769,0.702352102637206,0.7329995478825834,0.7112932604735883,0.7249142659190303,0.05153063216969963,994,0.7423095717327314,0.7288389525337965,0.7351110294224342,0.7351110294224342,0.7411456062935611,0.7168896164217784,0.7248521413387417,0.735102703080726,0.7381259676866527,0.7295720076622458,0.7327058625595103,0.007394330004115569
7,0.009093594551086426,0.000684116785637832,0.004322957992553711,0.00047037006598993857,0.008,{'C': 0.008},0.6878750248831674,0.7465813464235623,0.7103786816269285,0.683111954459203,0.6887105491018766,0.8281230143601475,0.7638769053781996,0.7112932604735883,0.7394007914075749,0.7112932604735883,0.7270644788587836,0.04220854793823219,993,0.7508081536048085,0.7288401512774356,0.7349877563991614,0.7358521030832375,0.7418383497535245,0.7201479430171569,0.7326325591694307,0.7381259676866527,0.733360511745999,0.7358040021490643,0.735239749788647,0.007576610732147027
8,0.00883626937866211,0.0007025325774386299,0.004798626899719239,0.0006005185249104948,0.009000000000000001,{'C': 0.009000000000000001},0.7063054962346859,0.7465813464235623,0.7103786816269285,0.683111954459203,0.7112932604735883,0.8281230143601475,0.7825399960497729,0.7112932604735883,0.7394007914075749,0.7112932604735883,0.7330321061982639,0.04105447253285331,992,0.7515053117894162,0.7326760154431262,0.7356979590971556,0.7457518772271494,0.7486521379934264,0.7232537615615563,0.7310494302499632,0.7395500514882644,0.7492961292833109,0.7496026099113131,0.7407035284044681,0.009202686333548942
9,0.00924069881439209,0.0013392010937541751,0.0045603752136230465,0.0006891410170121908,0.010000000000000002,{'C': 0.010000000000000002},0.7063054962346859,0.7465813464235623,0.7103786816269285,0.724991854024112,0.7112932604735883,0.8281230143601475,0.7675529788084767,0.7112932604735883,0.7394007914075749,0.7112932604735883,0.7357213944306252,0.03618792344296006,991,0.7535151786858627,0.7441471571906355,0.7499410312127531,0.7502871676411018,0.7543834462957084,0.7347735305930602,0.7470448005198121,0.7402410612164143,0.7521592830383597,0.7479950593890589,0.7474487715782766,0.005876417959854526
