,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.1407771587371826,0.03718482157898646,0.016418266296386718,0.00840044172423066,20,4,log2,10,entropy,"{'n_estimators': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.9824561403508771,0.92956465237167,0.9649122807017544,0.9648473034437947,0.9824453274943908,0.9473684210526315,0.9122266374719541,0.9824453274943908,0.9649122807017544,0.8947368421052632,0.9525915213188482,0.029431626866486017,89,0.9883040935672515,0.9883040046817758,0.9883040935672515,0.9883038269027181,0.9941520467836257,0.9922025512684788,0.9922027290448343,0.9922027290448343,0.9902533372339688,0.9902534113060428,0.990448282340078,0.002035170314891357
1,0.32499754428863525,0.08837725241982801,0.03462803363800049,0.015104689572971775,40,4,sqrt,5,gini,"{'n_estimators': 40, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}",0.9472711053442543,0.9117380522137387,0.9824561403508771,0.9648473034437947,0.9473684210526315,0.9296946068875893,0.9473684210526315,0.9824453274943908,0.9473684210526315,0.8591293047433399,0.9419687103635879,0.03441441266910506,188,0.9844054580896686,0.9883038269027181,0.9883038269027181,0.9844051025369575,0.98635477582846,0.9844047469842463,0.9805063781711969,0.9902534113060428,0.9785575048732943,0.9824561403508771,0.9847951171946179,0.003465196017579248
2,0.38937649726867674,0.11554188130413856,0.026153373718261718,0.01375778826202293,40,7,auto,20,entropy,"{'n_estimators': 40, 'min_samples_leaf': 7, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'}",0.92956465237167,0.9117380522137387,0.9824561403508771,0.9648473034437947,0.9473684210526315,0.9122266374719541,0.9473359824831725,0.9824453274943908,0.9649122807017544,0.8418133160327629,0.9384708113616748,0.040306928354900406,213,0.9844054580896686,0.9785573419147312,0.9844054580896686,0.9746577138186622,0.9805063781711969,0.984405339575701,0.9805068226120858,0.9863544647257486,0.984405339575701,0.9785573419147312,0.9816761658487895,0.0035089869235451834
3,0.23396968841552734,0.01622962017522221,0.021799278259277344,0.006811627737319158,40,2,log2,10,entropy,"{'n_estimators': 40, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.92956465237167,0.9117380522137387,0.9824561403508771,0.9648473034437947,0.9473684210526315,0.9473359824831725,0.9648473034437947,0.9824453274943908,0.9824561403508771,0.9824561403508771,0.9595515463555824,0.02374251283056848,63,0.9961013645224172,0.9980506822612085,0.9980506822612085,1.0,0.9961013645224172,0.9961013645224172,0.9980506674467937,0.9980506674467937,0.9980506674467937,0.9980506674467937,0.9976608127876844,0.0011695886680403846
4,0.5490721940994263,0.06797595154617794,0.03654038906097412,0.006180049435030127,90,5,sqrt,10,gini,"{'n_estimators': 90, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.9472711053442543,0.9117380522137387,0.9824561403508771,0.9648473034437947,0.9649122807017544,0.9473359824831725,0.9298245614035088,0.9824453274943908,0.9649122807017544,0.8591293047433399,0.9454872338880586,0.035652063722387044,163,0.9883040935672515,0.9883038269027181,0.9863541535946642,0.9883038269027181,0.9863546721275562,0.9883040935672515,0.9863546721275562,0.9922026697878505,0.9863544647257486,0.9883040935672515,0.9879140566870566,0.0016994533069878627
5,0.12175822257995605,0.031418292001605584,0.01772749423980713,0.008019495309531527,20,5,auto,5,gini,"{'n_estimators': 20, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'gini'}",0.9472711053442543,0.8937573462191458,0.9824561403508771,0.9648473034437947,0.9298245614035088,0.8945419103313841,0.8946720248898108,0.9824453274943908,0.9648906749632703,0.8591293047433399,0.9313835699183775,0.04129716617650584,277,0.9766080093635516,0.9805068226120858,0.9805066744696264,0.9785573419147312,0.9766081871345029,0.9805066744696264,0.9766064092628535,0.9824560070211438,0.9766081871345029,0.9766081871345029,0.9785572500517127,0.0021354977877578846
6,0.17875525951385499,0.039490928915363356,0.01691701412200928,0.005585499894127091,30,9,sqrt,10,entropy,"{'n_estimators': 30, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.92956465237167,0.92956465237167,0.9649122807017544,0.9648473034437947,0.9297813499265406,0.9122266374719541,0.9298245614035088,0.9824453274943908,0.9298245614035088,0.8418133160327629,0.9314804642621555,0.03640751103528405,267,0.9727074774733291,0.9707589005599949,0.9707600117019063,0.9746577138186622,0.9746577138186622,0.9746582916335331,0.9727089294396757,0.9746588693957114,0.9688109161793372,0.9610136452241715,0.9715392469244983,0.00401361811077008
7,0.2384096622467041,0.031478934227632684,0.017473626136779784,0.0032209885144390674,40,3,auto,10,entropy,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy'}",0.9648906749632703,0.92956465237167,0.9824561403508771,0.9648473034437947,0.9473684210526315,0.9473684210526315,0.9824453274943908,0.9824453274943908,0.9824561403508771,0.9473359824831725,0.9631178391057708,0.0183634121973188,38,0.9922027290448343,0.9961013348939253,0.9961013645224172,0.9980506822612085,0.9922027290448343,0.9941520023403811,0.9961013645224172,0.9980506674467937,0.9961013645224172,0.9961013645224172,0.9955165603121646,0.0019590403769760263
8,0.2963141918182373,0.03465080374271609,0.02523791790008545,0.004536881207320483,60,9,sqrt,5,gini,"{'n_estimators': 60, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}",0.92956465237167,0.9117380522137387,0.9824561403508771,0.9648473034437947,0.9297813499265406,0.9122266374719541,0.9122807017543859,0.9824453274943908,0.9473684210526315,0.8591293047433399,0.9331837890823322,0.03592081287896397,256,0.9629626814890813,0.9590624607839928,0.9649120140453273,0.9629612740426603,0.9668613465954937,0.9649122807017544,0.968810205073915,0.9649120140453273,0.962962118541318,0.9649122807017544,0.9643268676020625,0.0024737921706288715
9,0.5067475080490113,0.1229888862157975,0.02807881832122803,0.005408168386865917,80,9,auto,10,entropy,"{'n_estimators': 80, 'min_samples_leaf': 9, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy'}",0.92956465237167,0.8937573462191458,0.9649122807017544,0.9648473034437947,0.9649122807017544,0.9122266374719541,0.9298245614035088,0.9824453274943908,0.9473684210526315,0.859562699853081,0.9349421510713686,0.03612623842238657,241,0.9766076538054362,0.9766076538054362,0.9766076538054362,0.9707569002694322,0.9766064092628535,0.9785575048732943,0.9746586768083187,0.9785575048732943,0.9727095516569201,0.9766076538054362,0.9758277162965857,0.0023397829681414003
