,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.2528300046920776,0.08940505246893439,0.028465843200683592,0.015135123330704511,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.9648473034437947,0.9824561403508771,0.9114616606876668,0.9471730672179987,0.9824561403508771,0.9649122807017544,0.9824453274943908,0.9648906749632703,0.9297813499265406,0.9824561403508771,0.9612880085488047,0.02346327074068781,21,0.9746519346684981,0.9707595672694614,0.9648946733489239,0.9746548245686264,0.9668563090512805,0.9609629111014153,0.9765984052718192,0.9570807596859172,0.9648842579248413,0.9668386638081545,0.9678182306698938,0.006004251584846891
1,0.1521331787109375,0.04557847886824573,0.01994457244873047,0.01055791779349854,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9824453274943908,1.0,0.9648473034437947,0.9471730672179987,1.0,0.9824453274943908,0.9824453274943908,0.9824453274943908,0.9824561403508771,0.9824561403508771,0.980671396134111,0.014624253000325136,10,0.9824548069927433,0.980504600272524,0.9844047469842463,0.9863544647257486,0.980504600272524,0.982452406266993,0.982452406266993,0.9805037110529101,0.9824541401616592,0.9824541401616592,0.9824540023158,0.001744218742472044
2,0.17892169952392578,0.0501827719045047,0.015282154083251953,0.006693173764245556,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824453274943908,0.9471730672179987,0.9824561403508771,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9824561403508771,1.0,0.9753887048533597,0.017956878967125223,14,0.9922023734921231,0.9922023734921231,0.9922023734921231,0.9961013348939253,0.9961013348939253,0.9922021364209512,0.9961012756342393,0.9922021364209512,0.9941517801119989,0.9922021364209512,0.9935669255273313,0.0017545769207875516
3,0.35886070728302,0.06051160193318867,0.01992666721343994,0.007800110576819958,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.7788106630211893,0.67055330634278,0.8183918876475076,0.6468144044321329,0.758333764315801,0.7805895813703055,0.9824561403508771,1.0,1.0,1.0,0.8435949747480593,0.13319436444064717,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.09067628383636475,0.022315693635789478,0.010223817825317384,0.0026440849204316243,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9824453274943908,0.9824561403508771,0.9471730672179987,0.9471730672179987,1.0,0.9824453274943908,0.9824453274943908,1.0,0.9824561403508771,0.9824561403508771,0.9789050537971802,0.017260540883215287,13,0.9824548069927433,0.980504600272524,0.9844047469842463,0.9863544647257486,0.980504600272524,0.982452406266993,0.982452406266993,0.9805037110529101,0.9824541401616592,0.9824541401616592,0.9824540023158,0.001744218742472044
5,0.09079582691192627,0.04267720555755131,0.01910407543182373,0.010844561223292396,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9648473034437947,1.0,0.9648473034437947,0.9471730672179987,1.0,1.0,0.9824453274943908,1.0,0.9824561403508771,1.0,0.9841769141950856,0.01836943676809353,7,0.9902531890898205,0.9902531890898205,0.9883035602381848,0.9941520467836257,0.9902531890898205,0.9902529668533316,0.9922021364209512,0.9902529668533316,0.9922025512684788,0.9902529668533316,0.9908378762540696,0.0015225623772630384
6,0.22136316299438477,0.07333909562430892,0.020923495292663574,0.010406466817742401,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824561403508771,0.9471730672179987,0.9648906749632703,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9824453274943908,1.0,0.973632158314599,0.018038571041058563,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.3522928237915039,0.07124565476847272,0.018112754821777342,0.008681178894385778,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.7788106630211893,0.6935040303461357,0.8375925523558022,0.6468144044321329,0.758333764315801,0.7805895813703055,0.9824561403508771,1.0,1.0,1.0,0.8478101136192244,0.13008244281708542,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.09717044830322266,0.049449419157065036,0.01925044059753418,0.00982536055473735,50,0.001,rbf,"{'C': 50, 'gamma': 0.001, 'kernel': 'rbf'}",0.9824453274943908,0.9824561403508771,0.9648473034437947,0.9471730672179987,0.9824561403508771,0.9824453274943908,0.9824453274943908,1.0,0.9824561403508771,0.9824561403508771,0.9789180914548474,0.013181714035568476,11,0.9844036802180192,0.9824533400859721,0.9863537387721337,0.9883035602381848,0.9824533400859721,0.982452406266993,0.9844011902894741,0.982452406266993,0.9844029688423281,0.9844029688423281,0.9842079599908399,0.0018398730662738411
9,0.10011038780212403,0.03919809949670397,0.018822908401489258,0.011277113585019158,50,0.01,rbf,"{'C': 50, 'gamma': 0.01, 'kernel': 'rbf'}",0.9824561403508771,0.9824561403508771,0.9824453274943908,0.9648473034437947,1.0,0.9824453274943908,0.9824453274943908,1.0,0.9824561403508771,1.0,0.9859551706979598,0.010540400317066387,3,0.9961013348939253,0.9961013348939253,0.9941519134538923,1.0,0.9961013348939253,0.9961012756342393,0.9961012756342393,0.9961012756342393,0.9961012756342393,0.9961012756342393,0.9962962296306863,0.0013645509881851684
10,0.14062769412994386,0.027618858165553442,0.011348628997802734,0.001232628126893979,50,0.1,rbf,"{'C': 50, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824561403508771,0.9471730672179987,0.9648906749632703,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9824453274943908,1.0,0.973632158314599,0.018038571041058563,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.3480826377868652,0.044562041172380905,0.015706634521484374,0.006490898421318553,50,1,rbf,"{'C': 50, 'gamma': 1, 'kernel': 'rbf'}",0.7788106630211893,0.6935040303461357,0.8375925523558022,0.6468144044321329,0.758333764315801,0.7805895813703055,0.9824561403508771,1.0,1.0,1.0,0.8478101136192244,0.13008244281708542,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.08600168228149414,0.01792658142172339,0.016225743293762206,0.00762520909917679,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9824453274943908,0.9824561403508771,0.9648473034437947,0.9471730672179987,0.9824561403508771,0.9824453274943908,0.9824453274943908,1.0,0.9824561403508771,0.9824561403508771,0.9789180914548474,0.013181714035568476,11,0.9902531890898205,0.9863537387721337,0.9883035602381848,0.9883035602381848,0.9863537387721337,0.9844029688423281,0.988302226631746,0.9844029688423281,0.9883032046314267,0.9863532201257349,0.9871332376184021,0.001787209130135129
13,0.0919783353805542,0.014352256249585417,0.015213561058044434,0.006285379024411909,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9648906749632703,1.0,0.9648473034437947,1.0,0.9824453274943908,1.0,1.0,0.9649122807017544,1.0,0.9877095586603211,0.015802347511677348,1,0.9980506822612085,0.9980506822612085,0.9980506822612085,1.0,0.9980506822612085,0.9961012756342393,0.9980506674467937,0.9980506674467937,0.9980506674467937,0.9980506674467937,0.9980506674466249,0.0008717812708886128
14,0.17619187831878663,0.044139069803479494,0.014498567581176758,0.00671126581470739,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824561403508771,0.9471730672179987,0.9648906749632703,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9824453274943908,1.0,0.973632158314599,0.018038571041058563,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.42911083698272706,0.058531252994103715,0.02273845672607422,0.007120670415764935,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.7788106630211893,0.6935040303461357,0.8375925523558022,0.6468144044321329,0.758333764315801,0.7805895813703055,0.9824561403508771,1.0,1.0,1.0,0.8478101136192244,0.13008244281708542,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0.09776604175567627,0.018488528291087842,0.015332484245300293,0.006435250193343182,200,0.001,rbf,"{'C': 200, 'gamma': 0.001, 'kernel': 'rbf'}",0.9824453274943908,1.0,0.9648473034437947,0.9471730672179987,0.9824561403508771,1.0,0.9824453274943908,1.0,0.9824561403508771,0.9824561403508771,0.9824279446703207,0.015742679901961914,8,0.9902531890898205,0.9863537387721337,0.9883035602381848,0.9883040046817758,0.9863537387721337,0.9863532201257349,0.988302226631746,0.9863532201257349,0.9883032046314267,0.9863532201257349,0.9875233323194428,0.0012933903460060092
17,0.10983459949493408,0.03625312992963987,0.018312859535217284,0.00855185161614172,200,0.01,rbf,"{'C': 200, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824561403508771,0.9648473034437947,0.9648906749632703,1.0,1.0,1.0,0.9824453274943908,1.0,0.9859530121215603,0.015309527549337112,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0.24003248214721679,0.06291420430034134,0.021860814094543456,0.017879503753773857,200,0.1,rbf,"{'C': 200, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.9648906749632703,0.9824561403508771,0.9471730672179987,0.9648906749632703,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9824453274943908,1.0,0.973632158314599,0.018038571041058563,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0.3507106304168701,0.08141774146294983,0.015157008171081543,0.0043456242054865065,200,1,rbf,"{'C': 200, 'gamma': 1, 'kernel': 'rbf'}",0.7788106630211893,0.6935040303461357,0.8375925523558022,0.6468144044321329,0.758333764315801,0.7805895813703055,0.9824561403508771,1.0,1.0,1.0,0.8478101136192244,0.13008244281708542,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.06109151840209961,0.013654165856524281,0.008899474143981933,0.0017810020020037909,300,0.001,rbf,"{'C': 300, 'gamma': 0.001, 'kernel': 'rbf'}",0.9824453274943908,1.0,0.9648473034437947,0.9471730672179987,0.9824561403508771,1.0,0.9824453274943908,1.0,0.9824561403508771,0.9824561403508771,0.9824279446703207,0.015742679901961914,8,0.9902531890898205,0.9902531890898205,0.9902531890898205,0.9902531890898205,0.9863537387721337,0.9863532201257349,0.988302226631746,0.9863532201257349,0.9883032046314267,0.9863532201257349,0.9883031586771794,0.0017440611898995508
