,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.9130510330200196,0.26489450420126126,0.016269683837890625,0.0060806261419949405,3,8,0.05,0.0,0.3,"{'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.3}",0.9648906749632703,0.928388980113118,1.0,0.9641941391941391,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9464114832535885,0.8916129032258064,0.9284802043422733,0.9534652754750231,0.029318227044678395,262,0.998015927703643,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198641135603,0.9980198641135603,1.0,0.996039603960396,0.996039603960396,0.9978214258151967,0.0010663037367889445
1,0.8295577764511108,0.29440139434663737,0.017840814590454102,0.008585695036348475,1,3,0.1,0.4,0.4,"{'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.4}",0.9824561403508771,0.928388980113118,1.0,0.9821257252501255,0.9821485532011848,0.9464114832535885,0.9821371610845295,0.9821371610845295,0.9282051282051282,0.9821371610845295,0.9696147493627609,0.02413489228042424,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.9646663904190064,0.20558983671975145,0.015420341491699218,0.0058776813428659865,1,6,0.15,0.4,0.5,"{'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.4, 'colsample_bytree': 0.5}",1.0,0.910285988395998,1.0,0.9821257252501255,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9464114832535885,0.9099967855994856,0.9821371610845295,0.9641631513241762,0.03112818616467538,157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.8644839286804199,0.3040161207765961,0.016821527481079103,0.00792082206799776,7,4,0.05,0.4,0.5,"{'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.9824561403508771,0.928388980113118,1.0,0.9641941391941391,0.9821485532011848,0.9464114832535885,0.9642401021711368,0.9104573073233129,0.8916129032258064,0.9462743843939878,0.9516183993227152,0.03229777687629726,285,0.9920638670461491,0.9920795185400894,0.9940595457253077,0.9861369826303018,0.9940596854880952,0.9940598252947351,0.9940595923406806,0.9920792079207921,0.990099320567801,0.990099320567801,0.9918796866121753,0.002417455150030605
4,0.7445521831512452,0.32198928762564105,0.018749237060546875,0.010773359435041457,7,10,0.3,0.1,0.7,"{'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9472711053442543,0.9463773069036228,1.0,0.9821257252501255,0.9642857142857143,0.9642857142857143,0.9821371610845295,0.9104573073233129,0.9099967855994856,0.9642857142857143,0.9571222534362473,0.028025509417469133,208,0.998015927703643,0.9980198485751026,0.9960397592700447,0.9980198485751026,1.0,1.0,0.9980198641135603,0.996039603960396,0.9960392621504878,0.9980198641135603,0.9978213978461898,0.0013861108455729377
5,0.7843375444412232,0.2808776473338616,0.013741898536682128,0.0031424124356257575,3,4,0.1,0.1,0.4,"{'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.4}",1.0,0.9821485532011848,1.0,0.9821257252501255,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9464114832535885,0.9099967855994856,1.0,0.973135691696242,0.02695647533224628,23,1.0,1.0,1.0,1.0,1.0,0.9980198641135603,1.0,1.0,0.9980197243025273,1.0,0.9996039588416087,0.0007920823173994479
6,1.0437628746032714,0.3556217356205722,0.014832043647766113,0.007475648327319083,1,12,0.05,0.1,0.4,"{'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.4}",1.0,0.9463773069036228,1.0,0.9821257252501255,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9464114832535885,0.9099967855994856,0.9821371610845295,0.9677722831749389,0.026406379889011015,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.8131930112838746,0.30592775530438004,0.0161041259765625,0.010409481434115199,3,5,0.05,0.1,0.3,"{'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.3}",0.9648906749632703,0.928388980113118,1.0,0.9641941391941391,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9464114832535885,0.8916129032258064,0.9284802043422733,0.9534652754750231,0.029318227044678395,262,0.998015927703643,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198641135603,0.9980198641135603,1.0,0.996039603960396,0.996039603960396,0.9978214258151967,0.0010663037367889445
8,0.908250093460083,0.20090362205244652,0.01642465591430664,0.0074355088913878355,3,6,0.05,0.3,0.3,"{'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.3}",0.9648906749632703,0.928388980113118,1.0,0.9641941391941391,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9284802043422733,0.9099967855994856,0.9284802043422733,0.9535105358212596,0.026895827444890292,250,0.998015927703643,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198485751026,0.9980198641135603,0.9980198641135603,1.0,0.996039603960396,0.996039603960396,0.9978214258151967,0.0010663037367889445
9,0.8281158924102783,0.2170810912827796,0.01781585216522217,0.006227436213693692,1,4,0.1,0.2,0.3,"{'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.3}",0.9824561403508771,0.9463773069036228,1.0,0.9821257252501255,0.9821485532011848,0.9642857142857143,0.9642401021711368,0.9821371610845295,0.9282051282051282,1.0,0.9731975831452319,0.021599800256826993,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
