,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
6,0.050457429885864255,0.007214155846685776,0.007512211799621582,0.0019416579715504294,20,100,5,0.2,2,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 2, 'learning_rate': 0.005}",0.8943469785575048,0.9117380522137387,0.9473359824831725,0.9473359824831725,0.9471730672179987,0.9296946068875893,0.9648473034437947,0.9824453274943908,0.9649122807017544,0.9648473034437947,0.9454676884926911,0.02550739444984221,67,0.9707540104449883,0.9687978736957591,0.9688059376846562,0.9727051954740742,0.9707502305389871,0.9727037434131256,0.9668563090512805,0.9668608429053897,0.9649082804905432,0.9707555668099536,0.969389799050876,0.0024726649167222843
7,0.03276998996734619,0.0030932608565561385,0.006747221946716309,0.0006893166308412472,20,100,10,0.1,1,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 10, 'max_features': 0.1, 'max_depth': 1, 'learning_rate': 0.005}",0.8943469785575048,0.9121185089070906,0.9648473034437947,0.9473359824831725,0.9471730672179987,0.8771929824561403,0.9648473034437947,0.9473684210526315,0.8769659124699267,0.9649122807017544,0.929710874073381,0.03425769154553985,85,0.9512615004490536,0.9493096487375664,0.9434654891988399,0.9629502920160503,0.9610029757236855,0.9473680210634312,0.9376218323586745,0.9297829364285237,0.9395642605568264,0.9454103909481484,0.9467737347480799,0.00963483595441858
8,0.11155214309692382,0.03227863383060837,0.009847164154052734,0.006321980642941086,50,50,5,0.1,2,0.005,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_depth': 2, 'learning_rate': 0.005}",0.9121185089070906,0.9472711053442543,0.9824453274943908,0.9648473034437947,0.9296946068875893,0.9298245614035088,0.9648473034437947,0.9824453274943908,0.9649122807017544,0.9648473034437947,0.9543253628564363,0.022502946104670574,37,0.9727074774733291,0.9707540104449883,0.9727074774733291,0.9727074774733291,0.9707589005599949,0.9688073604360385,0.9668608429053897,0.9668608429053897,0.9668590798751819,0.9707595672694614,0.9699783036816431,0.0023388968049210383
9,0.03637831211090088,0.012228264721091411,0.010623955726623535,0.002822196465157363,10,150,5,0.2,1,0.005,"{'n_estimators': 10, 'min_samples_split': 150, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 1, 'learning_rate': 0.005}",0.8769659124699267,0.9297813499265406,0.9296946068875893,0.9473359824831725,0.9296946068875893,0.9296946068875893,0.9649122807017544,0.9297813499265406,0.8943469785575048,0.8943469785575048,0.9226554653285712,0.0251699174884044,95,0.9317738791423001,0.9317723236287435,0.9317686938606687,0.9278637314645521,0.9356676256400591,0.9200050159270811,0.9160817545394807,0.921946612660006,0.923923993442237,0.9297519513940053,0.9270555581699134,0.005956995868213095
10,0.043728089332580565,0.009340674160507892,0.007135844230651856,0.0021114079431733355,10,50,1,0.2,4,0.075,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 4, 'learning_rate': 0.075}",0.9473684210526315,0.9297813499265406,0.9824453274943908,0.9648473034437947,0.9471730672179987,0.9473359824831725,0.9824453274943908,0.9824453274943908,0.9473684210526315,0.9648473034437947,0.9596057831103737,0.017646542836241435,25,0.9844051025369575,0.9824553403359968,0.9805063781711969,0.9883032046314267,0.9824541401616592,0.9805066744696264,0.9844047469842463,0.9824557403616769,0.9805068226120858,0.9824557403616769,0.982845389062655,0.002273111763773525
11,0.05647900104522705,0.0037002782330191465,0.006515693664550781,0.0007073863154496843,20,50,5,0.3,2,0.01,"{'n_estimators': 20, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 2, 'learning_rate': 0.01}",0.8943469785575048,0.9117380522137387,0.9649122807017544,0.9648473034437947,0.9648473034437947,0.9296946068875893,0.9648473034437947,0.9824453274943908,0.9471730672179987,0.9648473034437947,0.9489699526848157,0.026697885830006048,58,0.9766017854342114,0.9687978736957591,0.9688059376846562,0.9746501998004555,0.9727051954740742,0.9629409963142498,0.9688042781864292,0.9785570159976051,0.9609940814988043,0.9727037434131256,0.9705561107499371,0.0053404392649588715
12,0.0551973819732666,0.005841495331090233,0.0068558454513549805,0.000629548574106699,10,100,1,0.3,5,0.01,"{'n_estimators': 10, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 5, 'learning_rate': 0.01}",0.9121185089070906,0.92956465237167,0.9824453274943908,0.9473359824831725,0.9648473034437947,0.9296946068875893,0.9471730672179987,0.9824453274943908,0.9296946068875893,0.9648473034437947,0.949016668663148,0.022866856591268272,54,0.9805037110529101,0.9746501998004555,0.9707540104449883,0.9765943121428413,0.9766017854342114,0.980504600272524,0.9668477419079573,0.9805068226120858,0.9766071204763696,0.976603208639822,0.9760173512784165,0.004188523367402789
13,0.0998990774154663,0.053264724374002405,0.010451793670654297,0.00351395449629855,50,30,1,0.1,1,0.075,"{'n_estimators': 50, 'min_samples_split': 30, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 1, 'learning_rate': 0.075}",0.9297813499265406,0.9824561403508771,0.9473359824831725,0.9648473034437947,0.9649122807017544,0.9122266374719541,0.9648473034437947,0.9824453274943908,0.9122266374719541,0.9648473034437947,0.9525926266232029,0.02488399325365265,39,0.9668600873013276,0.9649066798952383,0.9668600873013276,0.9668600873013276,0.9649114807081544,0.9707595672694614,0.9610118674606158,0.9649120140453273,0.9649106807145543,0.9668615984405458,0.9658854150437879,0.002347675554989689
14,0.11135625839233398,0.037889473940993706,0.010320568084716797,0.005611892939524371,50,150,50,0.1,1,0.075,"{'n_estimators': 50, 'min_samples_split': 150, 'min_samples_leaf': 50, 'max_features': 0.1, 'max_depth': 1, 'learning_rate': 0.075}",0.9297813499265406,0.9824561403508771,0.9473359824831725,0.9648473034437947,0.9649122807017544,0.9122266374719541,0.9648473034437947,0.9824453274943908,0.9122266374719541,0.9648473034437947,0.9525926266232029,0.02488399325365265,39,0.9668600873013276,0.9649066798952383,0.9668600873013276,0.9668600873013276,0.9649114807081544,0.9707595672694614,0.9610118674606158,0.9649120140453273,0.9649106807145543,0.9668615984405458,0.9658854150437879,0.002347675554989689
15,0.16477415561676026,0.022312357134183187,0.0069315433502197266,0.0012902218862444995,50,20,50,0.2,5,0.01,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 50, 'max_features': 0.2, 'max_depth': 5, 'learning_rate': 0.01}",0.9121185089070906,0.9472711053442543,0.9824453274943908,0.9473359824831725,0.9473359824831725,0.8771172924607358,0.9648473034437947,0.9824453274943908,0.9122266374719541,0.9648473034437947,0.9437990771026751,0.03218250010612672,70,0.970745559841053,0.9493038684407913,0.9570970763316687,0.9668313480673263,0.9609905202380689,0.9551585357752621,0.959040048557855,0.9649002775137077,0.9512592780165893,0.9668477419079573,0.9602174254690279,0.006761233269294834
