,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.10427932739257813,0.012866120022158265,0.013835525512695313,0.004857694617172372,20,4,log2,10,entropy,"{'n_estimators': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.7096774193548387,0.8129352934692201,0.7739657225702894,0.6829173356687588,0.7156292256035491,0.8339664134346261,0.7898374849194522,0.7301450347179425,0.74030341243456,0.7638769053781996,0.7553254247551437,0.0456915153828857,200,0.9213130285695049,0.901397926103051,0.9066735920242965,0.9155034155034156,0.9107595052150975,0.9108817151884226,0.9162809518363311,0.9269959913519037,0.9179292273324301,0.9179292273324301,0.9145664580456883,0.007001579194474718
1,0.17822554111480712,0.016836551268150333,0.019244575500488283,0.0024239887824586558,40,4,sqrt,5,gini,"{'n_estimators': 40, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}",0.6736727735940955,0.7449117638216636,0.7103786816269285,0.702073732718894,0.7106778910057596,0.8468294717089316,0.8532408055323647,0.7685996081649056,0.7787536813573458,0.7638769053781996,0.7553015314909088,0.056906569158906975,202,0.8269964620637446,0.8317678675961897,0.8421500422193302,0.8555342667649227,0.8469779929178399,0.8322288838014872,0.8339329817468064,0.8299522522705569,0.8276506747013146,0.8287216638261049,0.8355913087908297,0.00902765653810277
2,0.19369537830352784,0.0194637251338948,0.020023751258850097,0.003737762260044303,40,7,auto,20,entropy,"{'n_estimators': 40, 'min_samples_leaf': 7, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'}",0.6774193548387096,0.7979231650017767,0.7593678722710981,0.6829173356687588,0.7301450347179425,0.8494507664959966,0.8185861457885982,0.7638769053781996,0.737704918032787,0.7526174715299065,0.7570008969723774,0.051963080926844096,171,0.8927620699654378,0.8820632694405485,0.8729527296316871,0.8731555525813899,0.8778057384727292,0.8643366041166414,0.8668629687837198,0.8727889338714573,0.880554842454707,0.8770741328250934,0.8760356842143411,0.007681707890985996
3,0.21669750213623046,0.03497519521918701,0.02109560966491699,0.005893911426636382,40,2,log2,10,entropy,"{'n_estimators': 40, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.6918766728719217,0.8013824884792629,0.7108999989978854,0.6736727735940955,0.7343462614954017,0.8494507664959966,0.8066549124057473,0.7937476172321769,0.737704918032787,0.74030341243456,0.7540039822039836,0.05358837426443058,220,0.9672235719876794,0.9616273486979129,0.96898050133235,0.9653791375916979,0.9672403724576948,0.967369770197486,0.9546512927699837,0.9763879443025137,0.9636975585737018,0.961857448488676,0.9654414946399698,0.005379089980350031
4,0.3952036380767822,0.07387163512339519,0.035258936882019046,0.008228441722848453,90,5,sqrt,10,gini,"{'n_estimators': 90, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.6410400509535049,0.816425825913492,0.7044167141303784,0.6829173356687588,0.7301450347179425,0.8650725173589712,0.8858539598585057,0.7593722201042064,0.7526174715299065,0.6821738403804372,0.7520034970616103,0.07720733161218826,240,0.9027207863434401,0.898730436662939,0.8953789588976621,0.8969719768490613,0.894294626677474,0.8903343157608431,0.8977943878926652,0.8896542344651731,0.9011534980315603,0.8941441874602604,0.8961177409041078,0.004028839555364555
5,0.09427294731140137,0.020833432655005122,0.012459135055541993,0.002251803073204116,20,5,auto,5,gini,"{'n_estimators': 20, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'gini'}",0.6410400509535049,0.7183217372970694,0.7044167141303784,0.7162944582299421,0.7490846108266609,0.8494507664959966,0.8360655737704918,0.7539230297185939,0.7593722201042064,0.7825399960497729,0.7510509157576618,0.05877014035943441,251,0.8153306159420289,0.8412671134788337,0.8249565693343804,0.841862356929469,0.8347458437362563,0.8268419986630189,0.8057551599946727,0.8219314513509188,0.8134741991438682,0.8347659890957737,0.8260931297669221,0.011562354971209382
6,0.16891241073608398,0.05848153222857852,0.019016718864440917,0.006717578633944695,30,9,sqrt,10,entropy,"{'n_estimators': 30, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.6736727735940955,0.7937438905180839,0.7323644097837646,0.6878750248831674,0.6964131640576852,0.8494507664959966,0.8532408055323647,0.7787536813573458,0.7880144968800823,0.7490846108266609,0.7602613623929247,0.060456865957750947,104,0.8577532636941627,0.8525790868006857,0.8464070076697487,0.8508575521763283,0.8498997562701469,0.8503417822714026,0.8457627874871725,0.8533368693152881,0.853779087681124,0.8396034383596634,0.8500320631725723,0.00481648236851587
7,0.2820183038711548,0.0879767240420212,0.023715519905090333,0.007117211926626062,40,3,auto,10,entropy,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy'}",0.7096774193548387,0.8316026375014807,0.7449117638216636,0.6918766728719217,0.6964131640576852,0.8159953812728846,0.8206276512062234,0.7976087760384568,0.7343462614954017,0.7526174715299065,0.7595677199150462,0.05050484165902323,117,0.9431875849238155,0.9285263165170582,0.9286327468421092,0.9359524651147133,0.9215768172287664,0.9308407862995779,0.934569348674231,0.9306461917843086,0.932422373569169,0.9215768172287664,0.9307931448182515,0.006138940598160032
8,0.3515538215637207,0.08997010244001576,0.039026641845703126,0.011371465589337673,60,9,sqrt,5,gini,"{'n_estimators': 60, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}",0.6736727735940955,0.7535315201349357,0.7323644097837646,0.702073732718894,0.7106778910057596,0.8468294717089316,0.8360655737704918,0.7685996081649056,0.744715786181553,0.7825399960497729,0.7551070763113105,0.052865502453563404,205,0.82797329557607,0.8188577647934927,0.8239467778198207,0.8202009645819445,0.8117885518135162,0.8236266175741406,0.8114273288963777,0.810457246189615,0.8093748271898747,0.8089977744414054,0.8166651148876258,0.006695964003616824
9,0.4805601119995117,0.14083953492273435,0.04274506568908691,0.020643264258666985,80,9,auto,10,entropy,"{'n_estimators': 80, 'min_samples_leaf': 9, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy'}",0.6736727735940955,0.7789235286454418,0.7044167141303784,0.702073732718894,0.7301450347179425,0.8494507664959966,0.8701517062172801,0.7593722201042064,0.8032786885245902,0.7490846108266609,0.7620569775975486,0.06101792701022614,77,0.8746922237805829,0.8520856137454316,0.8506136343131271,0.8510956486825013,0.8585034287540377,0.8606700258495237,0.8606700258495237,0.85310741665445,0.8682046640420803,0.8545932121012528,0.8584235893772512,0.007538134686089888
10,0.10628688335418701,0.02427242992627871,0.013065648078918458,0.001468600796250746,20,4,log2,5,entropy,"{'n_estimators': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy'}",0.6878750248831674,0.7593678722710981,0.7183217372970694,0.6550197643445537,0.7156292256035491,0.8159953812728846,0.851570482917944,0.7685996081649056,0.7825399960497729,0.7046542302619181,0.7459573323066865,0.05755252776247534,284,0.8230175585580451,0.8273483215275639,0.8280293757649939,0.8412604247998068,0.8415525908921119,0.828684394960044,0.8185456199853621,0.8202378004949197,0.8270216779230162,0.803182789876038,0.8258880554781902,0.010521954339000703
11,0.43314812183380125,0.05354691896051617,0.03136732578277588,0.006523147522034774,80,1,log2,10,entropy,"{'n_estimators': 80, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.7096774193548387,0.8521513275762373,0.7789235286454418,0.6736727735940955,0.744715786181553,0.8339664134346261,0.8388790936714559,0.7343462614954017,0.7825399960497729,0.7049180327868853,0.7653790632790309,0.05888303133730278,35,0.9963723450742902,0.9872789199068014,0.9927355019785833,0.9981872970982743,0.9945650537416483,0.9909529365278237,0.9981905873055649,0.9945650537416483,0.9945717619166944,0.9963789543395464,0.9943798411630874,0.0031931345506302777
12,0.16257200241088868,0.028738806045700883,0.01659088134765625,0.0018306540253249812,30,8,log2,10,entropy,"{'n_estimators': 30, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.6918766728719217,0.8344854070660522,0.7183217372970694,0.7063054962346859,0.7490846108266609,0.8494507664959966,0.8221701795472287,0.7787536813573458,0.7554013425539411,0.7249968229762359,0.7630846717227138,0.05319556003459389,61,0.8729527296316871,0.8690563955090371,0.8523352788835412,0.8696825628374387,0.8550575595997368,0.8554997160748888,0.8705105586800562,0.853779087681124,0.8682046640420803,0.8591579511109677,0.8626236504050558,0.007715785687018395
13,0.25078141689300537,0.03344157133559425,0.024418354034423828,0.0028108245796682864,60,7,sqrt,5,gini,"{'n_estimators': 60, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}",0.6594426384373872,0.7739657225702894,0.7183217372970694,0.6829173356687588,0.7249968229762359,0.8650725173589712,0.851570482917944,0.7685996081649056,0.7638769053781996,0.7825399960497729,0.7591303766819534,0.06263044097887838,130,0.8241924888854343,0.8263275476886063,0.8232355155868696,0.831438404295573,0.8236266175741406,0.8339329817468064,0.8288249205748924,0.8262555621025255,0.8277234828295028,0.823301714007382,0.8268859235291733,0.0034584124452340763
14,0.10709967613220214,0.005945364857901277,0.014432239532470702,0.003449509455572513,20,2,auto,20,entropy,"{'n_estimators': 20, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'}",0.6594426384373872,0.7830487033523086,0.7108999989978854,0.6410400509535049,0.7343462614954017,0.831340646698714,0.77276548588024,0.8007596961215513,0.7196331344005608,0.7675529788084767,0.7420829595146031,0.057665887510895845,296,0.9817908733264884,0.9818387549464582,0.980009731282116,0.9673097589036248,0.9800465688187927,0.971031634716371,0.9781897828914103,0.9746526803768248,0.9782465134649905,0.9763879443025137,0.9769504243029591,0.0045061908584204365
15,0.22095746994018556,0.02233552906037354,0.022152185440063477,0.005328363584477506,50,7,sqrt,20,gini,"{'n_estimators': 50, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.6774193548387096,0.7979231650017767,0.724991854024112,0.702073732718894,0.7301450347179425,0.8494507664959966,0.8360655737704918,0.7937476172321769,0.7675529788084767,0.744715786181553,0.762408586379013,0.05374851224254828,72,0.8762268658118041,0.8822536878274985,0.868147448015123,0.8696825628374387,0.8776297034901169,0.8774491262913615,0.8734047039542007,0.8623964173415225,0.8688801913762073,0.8660658462124152,0.8722136553157688,0.0058591519295937535
16,0.28971502780914304,0.018302088988352068,0.0272233247756958,0.003779058761914564,60,6,auto,20,entropy,"{'n_estimators': 60, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'}",0.6629100313052946,0.7979231650017767,0.7183217372970694,0.6689708141321046,0.7106778910057596,0.8494507664959966,0.8376896327716,0.7787536813573458,0.8032786885245902,0.7490846108266609,0.7577061018718199,0.06296751488552366,159,0.9004908835904628,0.8955384626018543,0.8785741155721077,0.8899570606539993,0.8849353928339905,0.9008475062417537,0.8974925164771734,0.882848590259627,0.895421277179557,0.8919190043732869,0.8918024809783812,0.007228197800019591
17,0.4287172794342041,0.04323849796271134,0.03311307430267334,0.006624330077824498,80,1,auto,10,entropy,"{'n_estimators': 80, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'entropy'}",0.6736727735940955,0.8344854070660522,0.7535315201349357,0.6410400509535049,0.7490846108266609,0.8494507664959966,0.8066549124057473,0.7301450347179425,0.7880144968800823,0.8007596961215513,0.7626839269196569,0.06384081137565027,66,0.989103252967875,0.9854521119343254,0.994555096091971,0.9909135142191438,0.9927488378216637,0.9891500904159132,0.9891629428057229,0.9927579086790927,0.9909417562360807,0.9945650537416483,0.9909350564913437,0.0026951687235705697
18,0.17244963645935057,0.022287513694538907,0.019161677360534667,0.003259117910418915,40,9,sqrt,10,gini,"{'n_estimators': 40, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.6736727735940955,0.8129352934692201,0.739191218350334,0.7162944582299421,0.6906214258482654,0.8650725173589712,0.8376896327716,0.7394007914075749,0.7343462614954017,0.7301450347179425,0.7539369407243347,0.06007759012520286,222,0.8515684130855269,0.8579907387914911,0.8446898944327031,0.8584489499821307,0.8589451413007302,0.8548281931372597,0.8513881307288442,0.8398684740861898,0.8491941204357366,0.8438024862869249,0.8510724542267539,0.006335239273392822
19,0.39109809398651124,0.049168598154539576,0.03751378059387207,0.00936471741342835,90,4,sqrt,20,gini,"{'n_estimators': 90, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.6736727735940955,0.816425825913492,0.7044167141303784,0.6550197643445537,0.7156292256035491,0.8650725173589712,0.8545028741750053,0.7593722201042064,0.7526174715299065,0.7526174715299065,0.7549346858284064,0.06821966844801697,208,0.9209520110289822,0.9096304701400397,0.9156337465013995,0.9175303652119903,0.9180444435648855,0.9195784982246182,0.9272008276837662,0.9178109948814218,0.9252244071251029,0.9122674526086745,0.918387321697088,0.005052936507172991
20,0.39861135482788085,0.06546611593394516,0.03332018852233887,0.005819462089061361,90,7,sqrt,5,entropy,"{'n_estimators': 90, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy'}",0.6689708141321046,0.7680491551459292,0.724991854024112,0.6689708141321046,0.7301450347179425,0.8650725173589712,0.8671731307477011,0.7890768826159374,0.7638769053781996,0.744715786181553,0.7591042894434555,0.06508970507629719,131,0.8249352356772067,0.8211704020358562,0.83379733058372,0.8327133136728341,0.8128249262885245,0.8217510725862553,0.8239442375981171,0.8234467751442772,0.8188955534945408,0.8338320026908673,0.8247310849772198,0.006545370309579928
21,0.2393794298171997,0.025296706015139492,0.020329952239990234,0.00125854218394625,50,5,auto,10,gini,"{'n_estimators': 50, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'gini'}",0.6410400509535049,0.816425825913492,0.7044167141303784,0.6829173356687588,0.7301450347179425,0.8650725173589712,0.8688524590163934,0.7741473525532315,0.7526174715299065,0.7301450347179425,0.7565779796560521,0.07153730414001995,182,0.9008083573300965,0.891708045174773,0.8820632694405485,0.8988921071300934,0.8960436879544116,0.8961896285155215,0.8900026519864661,0.9006888110186558,0.9081921354090312,0.8863360737193482,0.8950924767678947,0.0073207415688005964
22,0.14510958194732665,0.01614464294347593,0.015815472602844237,0.001584140597645934,30,7,sqrt,10,entropy,"{'n_estimators': 30, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.6736727735940955,0.8316026375014807,0.724991854024112,0.6878750248831674,0.7106778910057596,0.8650725173589712,0.8376896327716,0.7638769053781996,0.7856018086592522,0.7490846108266609,0.76301456560033,0.06262127919606053,62,0.8871184032271647,0.8692702000557939,0.8599501324606514,0.867101750995187,0.8739768588181801,0.8572217193789206,0.8610901332970679,0.8565505048047253,0.8710525521958651,0.871669760650877,0.8675002015884432,0.00885298014791217
23,0.3451643705368042,0.029201926611710245,0.027355051040649413,0.0034509719221889465,70,2,auto,20,entropy,"{'n_estimators': 70, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'}",0.6918766728719217,0.8344854070660522,0.7789235286454418,0.6410400509535049,0.7301450347179425,0.8339664134346261,0.80522755932592,0.7638769053781996,0.7301450347179425,0.7343462614954017,0.7544032868606954,0.05861531031754312,212,0.9836227796587369,0.980009731282116,0.9818617253714516,0.9836652882759132,0.9873184587305129,0.9891368630186391,0.9818248190761755,0.985497675643327,0.9818720945541588,0.9873341111389532,0.9842143546749984,0.002833858919580897
24,0.41285655498504636,0.048562185698766136,0.034480953216552736,0.004809356055078314,90,6,auto,5,entropy,"{'n_estimators': 90, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'entropy'}",0.6736727735940955,0.7535315201349357,0.7642436925020729,0.6550197643445537,0.7301450347179425,0.8650725173589712,0.851570482917944,0.7685996081649056,0.7638769053781996,0.7249968229762359,0.7550729122089856,0.06318325756848141,207,0.8290518977887423,0.817405568394506,0.8313087169236435,0.8364307955912156,0.8310735291526176,0.8217510725862553,0.8308031595132656,0.8248543292433107,0.8239442375981171,0.8246657471952362,0.827128905398691,0.005306612925454079
