,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.5557033538818359,0.10676383725655508,0.023837637901306153,0.008085960576336596,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.724310776942356,0.7866666666666665,0.6109803921568628,0.7371303395399782,0.75,0.7998749218261413,0.6119543107494914,0.7442455242966751,0.7968253968253968,0.6731615336266499,0.7235149862630218,0.06644990779932103,28,0.7231619969897152,0.7333312757042879,0.7415948874687412,0.7361029661409302,0.7163515016685207,0.7192277992277992,0.7373170745831877,0.7151189609948447,0.7261559312609684,0.7303870474602181,0.7278749441499214,0.008812593597653096
1,0.37964749336242676,0.05862000518580039,0.019507551193237306,0.005333124616433114,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7248280175109443,0.7594556100648836,0.6491228070175439,0.7998749218261413,0.7872007510561726,0.8122359568142699,0.6497811131957474,0.7979797979797979,0.8088867654085046,0.7120951337818809,0.7501460874655888,0.059911656836814646,24,0.7705567089952202,0.7666648662412517,0.7666648662412517,0.7583333333333333,0.7554876354542929,0.7583165497604002,0.7680515286723729,0.7444128904803061,0.7513078144688372,0.7664864864864865,0.7606282680133752,0.008048134513909769
2,0.37938287258148196,0.05843288256761541,0.016613698005676268,0.0033161886563326075,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7364705882352941,0.8362462604314281,0.7374589779653071,0.7866666666666665,0.8117647058823529,0.8122359568142699,0.7371303395399782,0.8874824191279889,0.779757085020243,0.8000000000000002,0.7925212999683529,0.046025314383609336,17,0.8443471614203322,0.8401146231397394,0.8316323276753396,0.8302989088436216,0.8387383282231096,0.8414599284560886,0.8360794906424849,0.8318013587948081,0.8288070425720698,0.8402084237950498,0.8363487593562644,0.005112353007337251
3,0.5626644372940064,0.09995117593885862,0.023793578147888184,0.007352955613339957,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.7872007510561726,0.7579232361841057,0.7606676113997797,0.7624628848257541,0.8245614035087719,0.825,0.8870588235294118,0.9374902328488826,0.8607374584586168,0.8742928975487114,0.8277395299360206,0.058408107601869416,7,0.9874999758872993,0.9777777777777777,0.9819444096149876,0.9819441309744962,0.9791663049705723,0.9749982637683172,0.9791663049705723,0.9805554055201042,0.9791666264788319,0.9819441309744962,0.9804163330937454,0.003133768395421705
4,0.3722285270690918,0.04503708628364242,0.019726324081420898,0.006253370946138156,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.7124550711048603,0.7594556100648836,0.6240601503759399,0.7998749218261413,0.774859287054409,0.774859287054409,0.6240601503759399,0.784776072163317,0.8232323232323232,0.6731615336266499,0.7350794406878873,0.06869822792534762,27,0.7550717466600693,0.741648725605945,0.7512502147223278,0.7458093068210536,0.7443181818181819,0.7511772167295093,0.7582661850514032,0.7442471042471043,0.745573704648455,0.7496735712464556,0.7487035957550505,0.005025712615091888
5,0.3735013723373413,0.06268931100426024,0.016795539855957033,0.0034480783405269697,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7493734335839598,0.7442455242966751,0.6870599280237835,0.7371303395399782,0.812470698546648,0.7872007510561726,0.7124550711048603,0.8624785122675419,0.7678916827853,0.7250000000000001,0.7585305941204921,0.0487088398680729,21,0.7999243541153678,0.8096160861282622,0.8041209464400448,0.7941760474693079,0.7999984567782159,0.7944047848736253,0.7999444290080578,0.7916666666666666,0.7943428853754941,0.7958297887116095,0.7984024445566652,0.00517688322022391
6,0.43579285144805907,0.06983880921414996,0.01773712635040283,0.004688774049853905,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.7371303395399782,0.824010056568196,0.7364705882352941,0.8245614035087719,0.7988686360779383,0.8122359568142699,0.8614391434419778,0.8496240601503761,0.8607374584586168,0.8374746054070948,0.8142552248202515,0.04314847691877907,9,0.9097220480749384,0.8999722145040289,0.9027507641011391,0.9027770276005217,0.9027657735522905,0.9027410054727483,0.8930553492580041,0.8999505928853755,0.894441186456372,0.8972150843808596,0.9005391046286277,0.004571002412899317
7,0.6064702033996582,0.0793244963436419,0.025151586532592772,0.006861711347116866,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.812470698546648,0.7364705882352941,0.7858604944103289,0.7624628848257541,0.8491514770584537,0.8624785122675419,0.9374119856047567,0.8742928975487114,0.898989898989899,0.8737373737373737,0.839332681122476,0.06023868197964308,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.36759724617004397,0.05648138751729423,0.023649024963378906,0.012591701585116466,50,0.001,rbf,"{'C': 50, 'gamma': 0.001, 'kernel': 'rbf'}",0.7248280175109443,0.7579232361841057,0.6360784313725489,0.812470698546648,0.787466791686201,0.787466791686201,0.6741854636591479,0.7979797979797979,0.8232323232323232,0.6870599280237835,0.7488691479881703,0.0614379213567865,26,0.7663619998300253,0.76801930857252,0.7638232842456237,0.7610650202585374,0.7553667953667954,0.7624628848257541,0.7692289869399671,0.7581821972065875,0.7581821972065875,0.7776061776061776,0.7640298852058576,0.006224381618574443
9,0.413380765914917,0.051759557788869606,0.020745253562927245,0.008375029097055026,50,0.01,rbf,"{'C': 50, 'gamma': 0.01, 'kernel': 'rbf'}",0.73547472838923,0.7834050007963053,0.7124550711048603,0.7744360902255639,0.8372711625723674,0.7872007510561726,0.7624628848257541,0.8749218261413383,0.779757085020243,0.7621655452980753,0.7809550145429911,0.04421076223398224,19,0.8222098756858115,0.8121517705468665,0.8192757126638297,0.8205810254003024,0.8207084794774138,0.81223595681427,0.8248905565978737,0.8095602161561052,0.8079999999999999,0.8207084794774138,0.8170322072819886,0.00563430018777898
