,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.10538330078125,0.011096182194963881,0.005749034881591797,0.0009765431678803073,50,100,1,0.1,5,0.075,"{'n_estimators': 50, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 5, 'learning_rate': 0.075}",0.7866666666666665,0.7988686360779383,0.7621655452980753,0.8110533774208786,0.7615686274509803,0.8000000000000002,0.746031746031746,0.8000000000000002,0.7968253968253968,0.8372711625723674,0.7900451158344051,0.025554733782205016,1,0.8720553808592996,0.8705614224325406,0.8678411543418239,0.8705934419322858,0.8622446317343686,0.8650275684670078,0.8441739130434781,0.8692992213570635,0.8776181903871562,0.8692173913043477,0.8668632315859371,0.008497984374640184
1,0.02851691246032715,0.003130601813896567,0.005930805206298828,0.0014993261639444776,20,30,20,0.3,1,0.005,"{'n_estimators': 20, 'min_samples_split': 30, 'min_samples_leaf': 20, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.7120951337818809,0.6747967479674797,0.595959595959596,0.6559961777353082,0.7222222222222222,0.7069597069597069,0.7069597069597069,0.6870599280237835,0.6095103133364825,0.748585795097423,0.6820145328043589,0.0464914814363217,95,0.7173877314255328,0.7025813692480359,0.702674879168048,0.6915287244401169,0.7009214567792891,0.7172100547536088,0.6939897528678713,0.6806499054555641,0.6920109507217521,0.7004106520657043,0.6999365476925523,0.010767784069708164
2,0.04900889396667481,0.0016190884295769353,0.005195164680480957,0.000572110868268953,50,50,1,0.2,1,0.075,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 1, 'learning_rate': 0.075}",0.7606676113997797,0.7621655452980753,0.7124550711048603,0.746031746031746,0.7234443746071653,0.73547472838923,0.7222222222222222,0.6741854636591479,0.7186700767263428,0.7737272155876807,0.732904405502625,0.027829394719587126,72,0.7755884704511268,0.7689502601254437,0.7627447179685986,0.7712053571428571,0.7752612936434542,0.7671459694989109,0.7601320203608866,0.7749785985080103,0.7622377622377622,0.755718797438537,0.7673963247375588,0.006639495147273205
3,0.026200151443481444,0.0018549243408856552,0.005295205116271973,0.0006341747683636093,20,150,1,0.3,1,0.005,"{'n_estimators': 20, 'min_samples_split': 150, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.7120951337818809,0.6747967479674797,0.595959595959596,0.6559961777353082,0.7222222222222222,0.7069597069597069,0.7069597069597069,0.6870599280237835,0.6095103133364825,0.748585795097423,0.6820145328043589,0.0464914814363217,95,0.7173877314255328,0.7025813692480359,0.702674879168048,0.6915287244401169,0.7009214567792891,0.7172100547536088,0.6939897528678713,0.6806499054555641,0.6920109507217521,0.7004106520657043,0.6999365476925523,0.010767784069708164
4,0.015453362464904785,0.0019487797446730156,0.0057307958602905275,0.0006212486146370459,10,50,5,0.3,1,0.005,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 1, 'learning_rate': 0.005}",0.73547472838923,0.6624472573839663,0.6992481203007519,0.6559961777353082,0.7234443746071653,0.6717171717171717,0.724310776942356,0.6741854636591479,0.6242914979757085,0.748585795097423,0.6919701363808228,0.03828850667534153,88,0.7455477693450667,0.6993701922049875,0.7415208601846784,0.702300878771467,0.7224283259491158,0.7076023391812866,0.7402772767694383,0.7151189609948447,0.749030605111158,0.7041287071137817,0.7227325915625824,0.01862599920456641
5,0.03648664951324463,0.0016359684250326504,0.005368590354919434,0.0010040954981273519,20,100,50,0.3,3,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': 0.3, 'max_depth': 3, 'learning_rate': 0.005}",0.724310776942356,0.7744360902255639,0.775,0.7442455242966751,0.7113725490196078,0.7606676113997797,0.7163120567375887,0.7120951337818809,0.746031746031746,0.7988686360779383,0.7463340124513136,0.02891747390164814,54,0.7933666346064346,0.7797329533132995,0.7838779956427016,0.7868746844038933,0.7894553376906318,0.7861597861597862,0.7886597036337234,0.7920120046762401,0.7885544804784362,0.7823660714285713,0.7871059652033717,0.00401862520997681
6,0.02835400104522705,0.001928012644091193,0.0052653074264526365,0.0010174157075521874,20,100,5,0.2,2,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 2, 'learning_rate': 0.005}",0.7374589779653071,0.7498436522826768,0.6212121212121213,0.7047022949767293,0.7474747474747475,0.7206349206349207,0.746031746031746,0.6870599280237835,0.690522243713733,0.7858604944103289,0.7190801126726095,0.0434793861462165,81,0.7663786554337751,0.7477499922145059,0.7562854541634569,0.7649235457365184,0.78553030435773,0.7513225138593207,0.7683271951928667,0.7428389760658131,0.7795524352786309,0.7482517482517481,0.7611160820554367,0.013518838599411527
7,0.023972177505493165,0.002158247849280455,0.004945588111877441,0.00027099512051616194,20,100,10,0.1,1,0.005,"{'n_estimators': 20, 'min_samples_split': 100, 'min_samples_leaf': 10, 'max_features': 0.1, 'max_depth': 1, 'learning_rate': 0.005}",0.7364705882352941,0.6240601503759399,0.5682539682539682,0.6559961777353082,0.7234443746071653,0.6675191815856778,0.7234443746071653,0.6870599280237835,0.6347031963470319,0.73547472838923,0.6756426668160563,0.053199037936964406,99,0.6929637526652451,0.7027458617332035,0.7084800006199257,0.6964373550699178,0.7009214567792891,0.7040667447147122,0.709835117660458,0.695244604260673,0.7052243512005819,0.6931764449486391,0.7009095689652646,0.005864842690210438
8,0.05976381301879883,0.0023232017292822834,0.0052022218704223635,0.0005608468274118175,50,50,5,0.1,2,0.005,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_depth': 2, 'learning_rate': 0.005}",0.7858604944103289,0.7248280175109443,0.6620247222656861,0.7186700767263428,0.7594556100648836,0.7727272727272727,0.7324414715719063,0.6874511642444132,0.690522243713733,0.7858604944103289,0.731984156764584,0.041285937177415424,77,0.7719743762617087,0.7562854541634569,0.7732080637132902,0.7655111891180342,0.7842986203515652,0.7725978897458494,0.7680412371134021,0.775273884952714,0.7739359368143923,0.7633490543103029,0.7704475706544716,0.00723188562509759
9,0.014431047439575195,0.0011022809228217404,0.004979085922241211,0.0005729830810567155,10,150,5,0.2,1,0.005,"{'n_estimators': 10, 'min_samples_split': 150, 'min_samples_leaf': 5, 'max_features': 0.2, 'max_depth': 1, 'learning_rate': 0.005}",0.6874511642444132,0.6247654784240151,0.6741854636591479,0.6969696969696969,0.73547472838923,0.6480201131363922,0.7120951337818809,0.6741854636591479,0.6369895165075888,0.748585795097423,0.6838722553868936,0.03872490946537501,93,0.7138800580264824,0.6994062345373576,0.7152332829782432,0.7178982882046512,0.7138420198565721,0.7157894736842105,0.7087778850787372,0.7152332829782432,0.7161058881741713,0.7122996531149199,0.7128466066633589,0.00505718737912395
