,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.7754572629928589,0.145938572941467,0.013523054122924805,0.0030031747584425925,3,8,0.05,0.0,0.3,"{'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.3}",0.8122359568142699,0.7621655452980753,0.8122359568142699,0.8476190476190476,0.836862745098039,0.85,0.8619607843137256,0.8870588235294118,0.8476190476190476,0.8742928975487114,0.8392050804654598,0.03419403667251854,150,0.9638886102516223,0.9583304396138621,0.9597159278359465,0.9583217560433456,0.9583175737740349,0.9499810885288418,0.9555541837711041,0.9624964551047457,0.9569257490230133,0.9583217560433456,0.9581853539989862,0.0035965366285617387
1,0.6041958093643188,0.11862518001359486,0.01379857063293457,0.006071314812813205,1,3,0.1,0.4,0.4,"{'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.4}",0.774859287054409,0.7866666666666665,0.7994987468671678,0.8232323232323232,0.8372711625723674,0.812470698546648,0.7872007510561726,0.849906191369606,0.8056680161943321,0.8362462604314281,0.811302010399112,0.023701255931223287,277,0.9055293136982496,0.9054505005561737,0.894284566164879,0.8956640692172294,0.8900739990607589,0.8776418242491657,0.9011813009968859,0.8929049531459169,0.8999374609130707,0.8943066189707257,0.8956974606973056,0.007805103968497811
2,0.7140011548995971,0.15702084517762954,0.015463685989379883,0.005795055463470828,1,6,0.15,0.4,0.5,"{'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.836862745098039,0.825,0.8874824191279889,0.8607374584586168,0.849906191369606,0.875,0.8465473145780052,0.9245757385292268,0.8465473145780052,0.9118249094630766,0.8664484091202566,0.031056435209027705,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9986111084319222,1.0,0.9986111084319222,1.0,0.9997222216863845,0.0005555566272311019
3,0.6375836372375489,0.12479203358818569,0.014717745780944824,0.008157641628148,7,4,0.05,0.4,0.5,"{'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.7744360902255639,0.7866666666666665,0.7979797979797979,0.824010056568196,0.8372711625723674,0.8372711625723674,0.7248280175109443,0.8248905565978737,0.7968253968253968,0.824010056568196,0.802818896408737,0.03311736753353821,288,0.8749218261413383,0.8720800889877641,0.8651151561971899,0.8665420647363665,0.8762396793974218,0.8552327334874836,0.8664925713314432,0.8776418242491657,0.8650880578591423,0.8581757508342602,0.8677529753221576,0.00711002317775871
4,0.7081649780273438,0.13372042907386147,0.01634347438812256,0.0067988020722231455,7,10,0.3,0.1,0.7,"{'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7994987468671678,0.7998749218261413,0.836862745098039,0.8484848484848484,0.825,0.8746867167919798,0.8222222222222222,0.8994343180389691,0.8598502946329034,0.9118249094630766,0.8477739723425348,0.03682033357774805,113,0.9833328189141639,0.9777770918855518,0.9791666264788319,0.9763884789666488,0.9847219569784198,0.9833321758455449,0.9805549553998579,0.9791656619242826,0.983333204731518,0.9736086165551914,0.980138158768001,0.00340529183420666
5,0.6221765518188477,0.11517468398945645,0.019994306564331054,0.011170473387260923,3,4,0.1,0.1,0.4,"{'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.4}",0.7998749218261413,0.7744360902255639,0.8248905565978737,0.8484848484848484,0.85,0.8624785122675419,0.7994987468671678,0.8496240601503761,0.8074145402022147,0.8484848484848484,0.8265187125106577,0.028042017349528044,232,0.9347069821466816,0.929127156149937,0.9332710323681833,0.9249420849420849,0.9332462856657215,0.926326215009296,0.9179857865197824,0.9332818532818532,0.929051567067716,0.9235189029984064,0.9285457866149663,0.005100033585916829
6,0.7852104663848877,0.13566809038350347,0.012386393547058106,0.0016798294800075644,1,12,0.05,0.1,0.4,"{'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.4}",0.836862745098039,0.8623063683304647,0.85,0.8343685300207039,0.8372711625723674,0.8874824191279889,0.8730158730158731,0.962447191362854,0.8730158730158731,0.898989898989899,0.8715760061534065,0.03685638821423668,4,0.9986111084319222,0.9972222222222222,1.0,0.9972222007885863,0.9972222222222222,0.9986111084319222,0.9972222222222222,0.9972222222222222,0.9944444015771727,0.9986111084319222,0.9976388816550413,0.0013958259490405949
7,0.6286882877349853,0.11275908277813837,0.018321943283081055,0.009987804960785553,3,5,0.05,0.1,0.3,"{'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.3}",0.7872007510561726,0.7615686274509803,0.774859287054409,0.8354169963601835,0.8245614035087719,0.812470698546648,0.7866666666666665,0.8623063683304647,0.7968253968253968,0.8614391434419778,0.8103315339241671,0.03326152874557457,280,0.9166608792277242,0.9221206666100085,0.922173580710166,0.9138649624895805,0.9305019305019305,0.9110280431575777,0.9207781653504853,0.9221621621621621,0.9221206666100085,0.9096593113645883,0.9191070368184231,0.005979384324720862
8,0.6429859161376953,0.14762227928585525,0.014953231811523438,0.009575639847835273,3,6,0.05,0.3,0.3,"{'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.3}",0.7994987468671678,0.7858604944103289,0.787466791686201,0.8232323232323232,0.8372711625723674,0.849906191369606,0.8117647058823529,0.8619607843137256,0.8476190476190476,0.8742928975487114,0.8278873145501832,0.02960455845699691,224,0.9458248684690317,0.9346666434988098,0.9360400444938821,0.9402361598258046,0.9443925269734861,0.92773261065944,0.9374902328488827,0.9374564463293305,0.9443925269734861,0.9374467863286475,0.9385678846400802,0.005157190935202567
9,0.6418870687484741,0.21007459103914244,0.014411544799804688,0.006346869609076377,1,4,0.1,0.2,0.3,"{'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.3}",0.7866666666666665,0.8117647058823529,0.8122359568142699,0.7968253968253968,0.8372711625723674,0.8874824191279889,0.8110533774208786,0.8619607843137256,0.8598502946329034,0.8742928975487114,0.833940366180526,0.03325901354078462,188,0.9457955868187532,0.9360276904296496,0.9402167721305112,0.9374361568807676,0.9457955868187532,0.9332323575778184,0.9318749263812802,0.9388209121245826,0.9374119856047568,0.9318622953985805,0.9378474270165453,0.004789254449783981
