f1 training,f1 test,Balanced ACC train,Balanced ACC test,Algorithm,Sampling Strategy
0.9890299744527151,0.9824561403508771,0.9900412796697626,0.9811507936507937,ada_boost_,ADASYN
0.9890299744527151,0.9824561403508771,0.9900412796697626,0.9811507936507937,ada_boost_,BORDERLINE
0.9824175824175824,0.9737469960380176,0.981217750257998,0.9742063492063492,ada_boost_,RANDOM
0.9802314019106354,0.9824561403508771,0.9794633642930857,0.9811507936507937,ada_boost_,SMOTE
0.9736263736263736,0.9824561403508771,0.9718266253869969,0.9811507936507937,ada_boost_,STANDARD
0.9693338883475398,0.9650731808230041,0.9706914344685242,0.9672619047619048,ada_boost_,SVM
0.9824175824175824,0.9737469960380176,0.981217750257998,0.9742063492063492,ada_boost_,UNDER
1.0,0.9384383268099622,1.0,0.9315476190476191,gradient_boosting_,ADASYN
0.9978034891011818,0.9384383268099622,0.9982456140350877,0.9315476190476191,gradient_boosting_,BORDERLINE
0.9955990754807322,0.9557756825927252,0.9941176470588236,0.9454365079365079,gradient_boosting_,RANDOM
0.9868131868131869,0.9647247085304307,0.9859133126934985,0.9573412698412699,gradient_boosting_,SMOTE
0.9824175824175824,0.9557756825927252,0.981217750257998,0.9454365079365079,gradient_boosting_,STANDARD
0.9955990754807322,0.9649122807017544,0.9941176470588236,0.9623015873015872,gradient_boosting_,SVM
0.9955990754807322,0.9557756825927252,0.9941176470588236,0.9454365079365079,gradient_boosting_,UNDER
0.9758923902825405,0.9650731808230041,0.977141382868937,0.9672619047619048,logistic_regression_,ADASYN
0.9802755920493512,0.9650731808230041,0.9818369453044375,0.9672619047619048,logistic_regression_,BORDERLINE
0.9867972264421968,0.9824561403508771,0.9847265221878225,0.9811507936507937,logistic_regression_,RANDOM
0.9889908435436422,0.9824561403508771,0.9864809081527348,0.9811507936507937,logistic_regression_,SMOTE
0.9889908435436422,0.9824561403508771,0.9864809081527348,0.9811507936507937,logistic_regression_,STANDARD
0.9758659437959729,0.9737469960380176,0.9759545923632611,0.9742063492063492,logistic_regression_,SVM
0.9867972264421968,0.9824561403508771,0.9847265221878225,0.9811507936507937,logistic_regression_,UNDER
1.0,0.9557756825927252,1.0,0.9454365079365079,random_forest_,ADASYN
1.0,0.9649122807017544,1.0,0.9623015873015872,random_forest_,BORDERLINE
0.9955990754807322,0.9647247085304307,0.9941176470588236,0.9573412698412699,random_forest_,RANDOM
0.9955990754807322,0.9560273762928301,0.9941176470588236,0.9503968253968254,random_forest_,SMOTE
0.9933945061261853,0.9467638691322903,0.9911764705882353,0.933531746031746,random_forest_,STANDARD
1.0,0.9649122807017544,1.0,0.9623015873015872,random_forest_,SVM
0.9955990754807322,0.9647247085304307,0.9941176470588236,0.9573412698412699,random_forest_,UNDER
1.0,0.9647247085304307,1.0,0.9573412698412699,svc_,ADASYN
0.9978008807263491,0.9647247085304307,0.9970588235294118,0.9573412698412699,svc_,BORDERLINE
0.9978008807263491,0.9560273762928301,0.9970588235294118,0.9503968253968254,svc_,RANDOM
1.0,0.9647247085304307,1.0,0.9573412698412699,svc_,SMOTE
0.9889767597749427,0.9736164257756981,0.9852941176470589,0.9692460317460317,svc_,STANDARD
0.9978008807263491,0.9560273762928301,0.9970588235294118,0.9503968253968254,svc_,SVM
0.9978008807263491,0.9560273762928301,0.9970588235294118,0.9503968253968254,svc_,UNDER
1.0,0.9736164257756981,1.0,0.9692460317460317,xgboost_,ADASYN
1.0,0.9647247085304307,1.0,0.9573412698412699,xgboost_,BORDERLINE
1.0,0.9557756825927252,1.0,0.9454365079365079,xgboost_,RANDOM
1.0,0.9557756825927252,1.0,0.9454365079365079,xgboost_,SMOTE
0.9978008807263491,0.9645092460881936,0.9970588235294118,0.9523809523809523,xgboost_,STANDARD
1.0,0.9649122807017544,1.0,0.9623015873015872,xgboost_,SVM
1.0,0.9557756825927252,1.0,0.9454365079365079,xgboost_,UNDER
